stock,industry_code,industry_name,implement_date
688129,C26,化学原料及化学制品制造业,2020/10/23
688130,I65,软件和信息技术服务业,2022/7/29
688131,M73,研究和试验发展,2021/6/8
688132,C39,计算机、通信和其他电子设备制造业,2022/9/23
688133,M73,研究和试验发展,2020/10/30
688135,C39,计算机、通信和其他电子设备制造业,2020/11/11
688136,C27,医药制造业,2020/12/14
688137,M73,研究和试验发展,2022/9/29
688138,C39,计算机、通信和其他电子设备制造业,2019/11/20
688139,C35,专用设备制造业,2019/10/25
688141,C39,计算机、通信和其他电子设备制造业,2022/12/23
688143,C39,计算机、通信和其他电子设备制造业,2022/12/12
688147,C35,专用设备制造业,2022/12/23
688148,C39,计算机、通信和其他电子设备制造业,2021/8/6
688148,C38,电气机械及器材制造业,2021/11/10
688150,C39,计算机、通信和其他电子设备制造业,2022/3/18
688151,C35,专用设备制造业,2021/12/6
688152,I65,软件和信息技术服务业,2022/10/28
688153,C39,计算机、通信和其他电子设备制造业,2022/4/12
688155,C35,专用设备制造业,2020/8/11
688156,N77,生态保护和环境治理业,2020/9/22
